"","X","RoleID","PlayerID","PlayerGlobalID","Type","GroupID","Condition","Task","Order","Accuracy","Turn","All_Content","StartTimes","EndTimes","Starts","Ends","gap","convos","information","grounds","claim","organization","query","social","strategy"
"1",1,4,3,1,"Conversation",1,"Desktop","Murder",2,1,1,"Alright. Is that OK that we can hear you guys discussing? Are we supposed to listen to you guys discussing this configuration of this study? I said [inaudible] [inaudible]","91.41062-104.1893-114.92-128.8933-183.656-202.536","92.072-108.1146-120.1253-129.8746-183.848-202.9413",91.41062,202.9413,0,1,0,0,0,0,1,0,0
"2",2,2,9,3,"Conversation",1,"Desktop","Murder",2,1,2,"[inaudible]","210.792","212.9893",210.792,212.9893,7.8507,1,0,0,0,0,0,0,0
"3",3,3,7,4,"Conversation",1,"Desktop","Murder",2,1,3,"This is overwhelming.","212.136","214.3546",212.136,214.3546,-0.8533,1,0,0,0,0,0,0,0
"4",4,2,9,3,"Conversation",1,"Desktop","Murder",2,1,4,"Oh wow. This is. So.","213.9706-242.5573-245.16","215.1226-243.5813-245.8426",213.9706,245.8426,-0.384,1,0,0,0,0,0,0,0
"5",5,4,3,1,"Conversation",1,"Desktop","Murder",2,1,5,"So do we.","246.44","247.5706",246.44,247.5706,0.5974,1,0,0,0,0,0,0,0
"6",6,2,9,3,"Conversation",1,"Desktop","Murder",2,1,6,"I think all you could do 'cause I mean this is pretty messy. What we could do? We could try arrange, but we could try to arrange new name of the persons at top you know. Because I mean I don't know.","248.104-260.4773","259.9013-262.952",248.104,262.952,0.5334,1,0,0,0,1,1,0,1
"7",7,4,3,1,"Conversation",1,"Desktop","Murder",2,1,7,"Uh. Yeah, yeah.","264.04-266.728","264.04-267.944",264.04,267.944,1.088,1,0,0,0,0,0,0,0
"8",8,2,9,3,"Conversation",1,"Desktop","Murder",2,1,8,"Well like like work first by region individuals at the top then you know creating links.","268.6053","274.1946",268.6053,274.1946,0.6613,1,0,0,0,1,0,0,0
"9",9,4,3,1,"Conversation",1,"Desktop","Murder",2,1,9,"OK, and I think whatever we have on the board is very overwhelming. It's really hard to scan. So how about we just following our order and just briefly discuss the what do you think are important stuff on your private board?","274.8133","293.3946",274.8133,293.3946,0.6187,1,0,0,0,0,1,0,1
"10",10,2,9,3,"Conversation",1,"Desktop","Murder",2,1,10,"That was like, yeah. Yeah.","275.3893-281.9813","276.9253-282.408",275.3893,282.408,-18.0053,1,0,0,0,0,0,0,0
"11",11,4,3,1,"Conversation",1,"Desktop","Murder",2,1,11,"How about that? We go from when 234 start from Jessica. What do you think are the important stuff on your on your clipboard?","294.0133-295.3146","294.6746-304.3173",294.0133,304.3173,11.6053,2,1,0,0,0,1,0,1
"12",12,3,7,4,"Conversation",1,"Desktop","Murder",2,1,12,"OK. So first thing is that. The body that belongs to Mr. Kelley, like the dead body, was found at the park 1:30 AM.","300.5413-305.2986-308.7546","301.3946-307.368-316.648",300.5413,316.648,-3.776,2,1,0,0,0,0,0,0
"13",13,4,3,1,"Conversation",1,"Desktop","Murder",2,1,13,"Yep. Yeah, at what time?","310.7173-315.0266","311.1226-316.2853",310.7173,316.2853,-5.9307,2,0,0,0,0,1,0,0
"14",14,3,7,4,"Conversation",1,"Desktop","Murder",2,1,14,"At 1:30 AM.","317.416","318.4186",317.416,318.4186,1.1307,2,0,0,0,0,0,0,0
"15",15,4,3,1,"Conversation",1,"Desktop","Murder",2,1,15,"1:30 yeah.","318.632","319.7413",318.632,319.7413,0.2134,2,0,0,0,0,0,0,0
"16",16,3,7,4,"Conversation",1,"Desktop","Murder",2,1,16,"Yeah, and blood was found both in the car of Mr. Scott and on the carpet outside the apartment of Mr. Jones.","319.9333","328.4453",319.9333,328.4453,0.192,2,1,0,0,0,0,0,0
"17",17,4,3,1,"Conversation",1,"Desktop","Murder",2,1,17,"OK. Yeah. OK, so that is the evidence of bloody found at two different places, yeah?","320.552-324.5413-328.8933","321.0213-324.904-336.4026",320.552,336.4026,-7.8933,2,0,0,0,0,1,0,0
"18",18,3,7,4,"Conversation",1,"Desktop","Murder",2,1,18,"And. Yeah in the car yeah car is Mr. Jones. Sorry carpet that Mr. Jones and car of Scott. But Mr. Kelley mr. Kelley's wife. She disappeared.","330.4293-334.9093-345.32","330.9626-344.424-346.664",330.4293,346.664,-5.9733,2,0,0,0,0,0,0,0
"19",19,4,3,1,"Conversation",1,"Desktop","Murder",2,1,19,"Yep.","347.0053","347.176",347.0053,347.176,0.3413,2,0,0,0,0,0,0,0
"20",20,3,7,4,"Conversation",1,"Desktop","Murder",2,1,20,"After the murder and she frequently left the building with Mr. Scott.","347.5386","354.0026",347.5386,354.0026,0.3626,2,1,0,0,0,0,0,0
"21",21,4,3,1,"Conversation",1,"Desktop","Murder",2,1,21,"Yeah. Yep.","348.4773-354.728","348.8826-354.9626",348.4773,354.9626,-5.5253,2,0,0,0,0,0,0,0
"22",22,3,7,4,"Conversation",1,"Desktop","Murder",2,1,22,"Now usually so yeah. So she knows Mr. Scott and she disappeared after the murder, so that's my.","354.8986","360.808",354.8986,360.808,-0.064,2,1,0,0,0,0,0,0
"23",23,4,3,1,"Conversation",1,"Desktop","Murder",2,1,23,"[inaudible] OK. So we have like a like a. Kind of a lead on the possibility of adultery. Between adult adult relationship between the wife of Kelley Yep.","356.1146-359.3146-361.8533-365.032-370.7706","356.7333-359.9333-364.2426-369.5973-375.8693",356.1146,375.8693,-4.6934,2,0,0,0,0,0,0,0
"24",24,3,7,4,"Conversation",1,"Desktop","Murder",2,1,24,"Yeah.","371.5173","372.072",371.5173,372.072,-4.352,2,0,0,0,0,0,0,0
"25",25,4,3,1,"Conversation",1,"Desktop","Murder",2,1,25,"So anything? Uh. Anything you want to weigh in on what? Did I do something wrong?","382.0986-386.984-389.4586-396.8613","384.3173-387.5386-391.9333-398.248",382.0986,398.248,10.0266,3,0,0,0,0,1,0,0
"26",26,1,5,2,"Conversation",1,"Desktop","Murder",2,1,26,"No, yeah you [inaudible].","403.432","406.248",403.432,406.248,5.184,3,0,0,0,0,0,0,0
"27",27,4,3,1,"Conversation",1,"Desktop","Murder",2,1,27,"Well, I think we should continue like about the the crime scene Jessica just described and the blood evidence and the possibility of adultery. Do you guys have anything to add on this two points?","406.8453","422.1626",406.8453,422.1626,0.5973,3,0,0,0,1,1,0,1
"28",28,1,5,2,"Conversation",1,"Desktop","Murder",2,1,28,"Yeah.","410.4293","410.728",410.4293,410.728,-11.7333,3,0,0,0,0,0,0,0
"29",29,2,9,3,"Conversation",1,"Desktop","Murder",2,1,29,"Mr. Jones had told Mr. Kelley that Mrs. Jones was going to kill Mr. Kelley.","425.128","431.8266",425.128,431.8266,14.4,4,0,0,0,0,0,0,0
"30",30,4,3,1,"Conversation",1,"Desktop","Murder",2,1,30,"So Mr. Jones public can speak publicly, speak, yeah, that.","431.9973","436.4773",431.9973,436.4773,0.1707,4,0,0,0,0,0,0,0
"31",31,2,9,3,"Conversation",1,"Desktop","Murder",2,1,31,"Told. Yeah, he told Mr. Kelley that he was going to kill him and and after the after the murder, Mr. Jones disappeared.","435.1546-436.6693","435.752-444.0933",435.1546,444.0933,-1.3227,4,0,0,0,0,0,0,0
